Date,Stock,Entry,Exit,Qty,Invested,PnL,PnL_%,Cumulative_PnL,Result,Stop_Loss,Target,RF_Conf,XGB_Conf
2024-12-13,TATASTEEL.NS,145.56,144.42,1.0,145.56,-1.13,-0.78,-1.13,HOLD_CLOSE,140.56,155.56,0.539,0.717
2024-12-20,TATASTEEL.NS,137.47,138.48,1.0,137.47,1.01,0.73,-0.12,HOLD_CLOSE,132.43,147.55,0.559,0.585
2024-12-24,TATASTEEL.NS,137.18,137.16,1.0,137.18,-0.02,-0.01,-0.14,HOLD_CLOSE,132.27,147.01,0.562,0.621
2024-12-26,TATASTEEL.NS,137.16,135.74,1.0,137.16,-1.42,-1.03,-1.56,HOLD_CLOSE,132.43,146.63,0.573,0.572
2024-12-27,TATASTEEL.NS,135.74,133.76,1.0,135.74,-1.98,-1.46,-3.54,HOLD_CLOSE,131.02,145.19,0.591,0.585
2024-12-30,TATASTEEL.NS,133.76,134.9,1.0,133.76,1.14,0.85,-2.4,HOLD_CLOSE,129.04,143.2,0.715,0.9
2024-12-31,TATASTEEL.NS,134.9,133.62,1.0,134.9,-1.28,-0.95,-3.68,HOLD_CLOSE,130.3,144.11,0.572,0.633
2025-01-01,TATASTEEL.NS,133.62,135.03,1.0,133.62,1.41,1.05,-2.27,HOLD_CLOSE,129.15,142.56,0.619,0.687
2025-01-02,TATASTEEL.NS,135.03,135.21,1.0,135.03,0.18,0.13,-2.09,HOLD_CLOSE,130.67,143.76,0.518,0.639
2025-01-06,TATASTEEL.NS,129.17,130.34,1.0,129.17,1.17,0.91,-0.92,HOLD_CLOSE,124.48,138.54,0.683,0.794
2025-01-07,TATASTEEL.NS,130.34,129.62,1.0,130.34,-0.72,-0.55,-1.64,HOLD_CLOSE,125.79,139.43,0.687,0.918
2025-01-08,TATASTEEL.NS,129.62,126.97,1.0,129.62,-2.65,-2.04,-4.29,HOLD_CLOSE,125.14,138.58,0.714,0.94
2025-01-09,TATASTEEL.NS,126.97,124.53,1.0,126.97,-2.44,-1.92,-6.73,HOLD_CLOSE,122.5,135.9,0.716,0.941
