symbol,rf_prob,xgb_prob,lstm_prob,intraday_prob,sentiment,avg_prob,votes,rank,date
RELIANCE.NS,0.6179132122695749,0.6722927093505859,0.5036598443984985,0.46581193804740906,-0.1914,0.5649194260165171,1,1,2026-09-08
SBIN.NS,0.5375230217655276,0.6204085350036621,0.5277555584907532,0.4597899615764618,-0.1129,0.5363692692091011,0,2,2026-09-08
COALINDIA.NS,0.5113663779499634,0.6560311913490295,0.5098531246185303,0.4510524272918701,-0.1914,0.5320757803023484,1,3,2026-09-08
POWERGRID.NS,0.5012480499926358,0.5629960298538208,0.5033887028694153,0.47464555501937866,-0.1914,0.5105695844338126,0,4,2026-09-08
INFY.NS,0.5537910719789605,0.4712015986442566,0.5034673810005188,0.4829573631286621,-0.1914,0.5028543536880995,0,5,2026-09-08
ICICIBANK.NS,0.40585206572312826,0.5308334231376648,0.5259020924568176,0.4672544300556183,-0.1414,0.4824605028433072,0,6,2026-09-08
HDFCBANK.NS,0.4627667823616064,0.33805638551712036,0.5053600668907166,0.4493873715400696,-0.1414,0.4388926515773782,0,7,2026-09-08
TATASTEEL.NS,0.3638516149299275,0.3562765419483185,0.4983883202075958,0.4885769188404083,-0.1914,0.42677334898156255,0,8,2026-09-08
NTPC.NS,0.3999558310707969,0.3205300271511078,0.4944339096546173,0.4727376103401184,-0.1914,0.4219143445541601,0,9,2026-09-08
TCS.NS,0.32274778331561144,0.355234831571579,0.5009015798568726,0.4867349863052368,-0.1914,0.41640479526232493,0,10,2026-09-08
